time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:54.089Z,-0.1353,-0.9159,0.3829,0.0335,0.011,-0.0536,0.0018,-0.0025,-0.0057,-29.7,66.33,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.099Z,-0.1366,-0.9164,0.3837,0.0298,-0.0018,-0.043,0.0021,-0.0014,-0.0069,-29.7,66.33,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.113Z,-0.1366,-0.9164,0.3837,0.0298,-0.0018,-0.043,-0.0023,-0.0027,-0.004,-29.7,66.33,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.119Z,-0.1404,-0.917,0.382,0.0721,0.0219,-0.0189,0.0033,0.0012,-0.005,-29.7,66.32,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.131Z,-0.1375,-0.9161,0.3784,0.0516,-0.0091,0.01,0.0017,-0.0027,-0.0041,-29.7,66.32,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.137Z,-0.1375,-0.9161,0.3784,0.0516,-0.0091,0.01,0.0015,-0.0001,-0.0022,-29.7,66.32,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.149Z,-0.1395,-0.9165,0.3746,0.0757,0.0177,0.0247,0.0054,-0.0017,-0.003,-29.69,66.33,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.158Z,-0.1395,-0.9165,0.3746,0.0757,0.0177,0.0247,0.0042,-0.0064,-0.0052,-29.69,66.33,-160.73,52.13,95,8,6,4,Bench,1
2026-03-27T04:28:54.169Z,-0.1352,-0.9178,0.3775,0.0296,0.0228,0.0292,0.0042,-0.0064,-0.0052,-29.69,66.33,-160.73,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.181Z,-0.1346,-0.918,0.3785,0.0204,0.0202,0.0008,0.0043,-0.0032,-0.0035,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.187Z,-0.1346,-0.918,0.3785,0.0204,0.0202,0.0008,0.0058,-0.0039,-0.0053,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.199Z,-0.1313,-0.9183,0.3786,-0.0027,0.0175,0.01,0.0036,-0.0006,-0.0018,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.207Z,-0.1313,-0.9183,0.3786,-0.0027,0.0175,0.01,0.0031,-0.0019,-0.0016,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.219Z,-0.1304,-0.9183,0.3823,-0.0214,0.0153,-0.0244,0.0038,-0.0035,-0.0041,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
2026-03-27T04:28:54.227Z,-0.1304,-0.9183,0.3823,-0.0214,0.0153,-0.0244,0.0042,-0.001,-0.0056,-29.69,66.33,-160.74,52.63,95,8,6,4,Bench,1
